node	x	y	z
6845	737550.503471	4777272.496764	0.000000
6846	737546.252431	4777136.879668	0.000000
6847	739440.775928	4776817.640531	0.000000
6872	739373.291983	4776868.622775	0.000000
6881	740569.740171	4776210.437820	0.000000
6882	741032.399994	4776155.366741	0.000000
6884	741366.820022	4776168.398601	0.000000
6886	741425.623923	4775980.507338	0.000000
6889	741412.401498	4776128.401561	0.000000
6891	741446.232328	4776041.484998	0.000000
6916	734582.963348	4778100.995820	0.000000
6917	734796.216149	4778148.792824	0.000000
6918	734858.879370	4778164.595783	0.000000
6919	735250.724514	4779317.771549	0.000000
6920	735060.989114	4779327.577172	0.000000
6921	734942.597069	4779337.346804	0.000000
6934	737039.754961	4778665.228504	0.000000
6951	735305.016040	4775811.870662	0.000000
6956	735040.568766	4775522.235365	0.000000
6958	734687.936194	4775136.954557	0.000000
6965	734625.187621	4774947.271808	0.000000
6968	734814.025046	4774949.956731	0.000000
6972	735064.262641	4775162.012781	0.000000
6983	734718.966257	4774869.651434	0.000000
6984	734893.180682	4775095.863545	0.000000
6987	735021.557738	4775154.102993	0.000000
6991	735084.378467	4775102.551479	0.000000
6998	735710.663511	4775326.126959	0.000000
7002	735311.815867	4777411.483197	0.000000
7017	737168.141801	4776128.199060	0.000000
7018	737092.302301	4776113.596807	0.000000
7019	737083.282216	4776124.380326	0.000000
7020	737038.095744	4776298.896335	0.000000
7022	737045.292864	4776242.815574	0.000000
7025	737209.187956	4776130.650015	0.000000
7026	737304.983372	4776130.925783	0.000000
7027	737316.609496	4776155.070490	0.000000
7029	737325.455517	4776171.534980	0.000000
7031	737364.927602	4776243.061790	0.000000
7039	738935.556010	4776548.963941	0.000000
7042	734273.426836	4777963.254254	0.000000
7145	737323.518966	4775404.259078	0.000000
7147	737554.112774	4775307.564776	0.000000
7150	737454.220343	4775198.995939	0.000000
7155	736854.401694	4774821.406137	0.000000
7156	736707.728796	4774704.842864	0.000000
7157	736671.250586	4774575.193111	0.000000
7158	737136.506255	4775833.378943	0.000000
7159	737215.346754	4775512.579247	0.000000
7199	737127.658926	4775899.398624	0.000000
7202	737091.564629	4775890.882456	0.000000
7204	737127.943367	4775889.345436	0.000000
7205	737113.178568	4775875.755523	0.000000
7207	737103.320199	4775911.339556	0.000000
7266	739743.599792	4776606.956798	0.000000
7267	739754.369780	4776637.114296	0.000000
7275	739607.315605	4776385.674971	0.000000
7276	739612.150145	4776408.084367	0.000000
7278	739707.151448	4776621.643014	0.000000
7279	739158.335416	4777252.268377	0.000000
7281	739170.575032	4777204.594046	0.000000
7283	739249.440683	4777121.673529	0.000000
7285	739148.119380	4777229.970732	0.000000
7292	739397.281082	4776938.596577	0.000000
7294	739764.598915	4776729.901544	0.000000
7302	739387.460969	4779150.903435	0.000000
7304	739792.639445	4779073.861726	0.000000
7305	739936.582028	4779065.375443	0.000000
7312	740420.851745	4779017.988792	0.000000
7313	740531.400056	4778960.220481	0.000000
7314	740474.490421	4778993.894970	0.000000
7318	738939.585257	4777314.427448	0.000000
7320	739120.975582	4777220.856492	0.000000
7323	735932.620248	4777606.174594	0.000000
7330	739108.634016	4777138.382402	0.000000
7334	739236.384030	4776443.480563	0.000000
7357	741137.863137	4775869.299818	0.000000
7366	740565.547906	4775825.554312	0.000000
7386	741443.082564	4776052.193175	0.000000
7387	741433.274118	4776077.432862	0.000000
7402	741106.101922	4774973.258207	0.000000
7405	737033.090464	4776295.453198	0.000000
7410	736825.052496	4776361.577923	0.000000
7411	736826.408686	4776380.939432	0.000000
7414	736830.122080	4776402.573353	0.000000
7442	733062.551331	4775827.329187	0.000000
7449	734729.511151	4777568.586202	0.000000
7451	734674.256592	4777465.921329	0.000000
7452	734631.857686	4777448.360900	0.000000
7487	734923.887363	4778672.683379	0.000000
7488	734691.221096	4778580.358157	0.000000
7489	734392.223438	4777189.678665	0.000000
7492	734016.016105	4776718.133572	0.000000
7493	735220.483358	4778590.227835	0.000000
7498	736974.997841	4778152.503317	0.000000
7499	738280.218311	4778651.137647	0.000000
7500	738390.303752	4778610.087893	0.000000
7501	738446.906897	4778589.329149	0.000000
7505	736810.359324	4779047.810129	0.000000
7507	736758.503669	4779081.534169	0.000000
7522	738882.083717	4777700.488361	0.000000
7528	738918.576355	4777959.644319	0.000000
7566	739120.440262	4779057.737048	0.000000
7567	739340.526810	4779155.192057	0.000000
7571	739203.819459	4779237.001535	0.000000
7574	739190.572100	4779286.753105	0.000000
7579	739189.016027	4779168.017382	0.000000
7580	739243.347694	4779164.588025	0.000000
7586	738039.861472	4778102.578611	0.000000
7588	738317.703965	4778065.666346	0.000000
7594	738276.432107	4780218.263168	0.000000
7614	737045.061060	4783599.293013	0.000000
7616	736650.989964	4783459.130848	0.000000
7617	736598.940149	4783470.808190	0.000000
7618	736489.883447	4783438.238439	0.000000
7619	736371.101326	4783390.154441	0.000000
7625	735859.319979	4778230.077306	0.000000
7626	735874.212382	4778295.173904	0.000000
7627	735889.639127	4778314.243920	0.000000
7628	735911.884314	4778340.343983	0.000000
7629	735942.384546	4778360.681089	0.000000
7630	737096.976047	4779608.796156	0.000000
7635	736562.407323	4780632.076886	0.000000
7639	736281.531082	4781309.937845	0.000000
7640	736272.380427	4781238.611465	0.000000
7642	736222.642434	4781152.488718	0.000000
7645	736892.297057	4783261.584983	0.000000
7653	736655.425362	4782156.611266	0.000000
7659	736621.064843	4780683.441254	0.000000
7661	736474.773907	4780793.900591	0.000000
7665	736676.542415	4782215.133769	0.000000
7666	736690.375657	4782208.754176	0.000000
7667	736867.091771	4783153.503671	0.000000
7668	736874.517791	4783185.452969	0.000000
7669	736835.502198	4783128.941582	0.000000
7670	736851.821340	4783192.324078	0.000000
7671	737011.327938	4783808.233111	0.000000
7672	737022.420183	4783806.862761	0.000000
7678	736990.032107	4783632.468862	0.000000
7682	736997.940663	4783663.378858	0.000000
7685	737235.880893	4784966.442571	0.000000
7686	737377.369347	4784990.428973	0.000000
7690	737523.399080	4784881.374500	0.000000
7692	737044.489927	4784430.607193	0.000000
7693	737000.303387	4784439.608415	0.000000
7694	736918.741721	4784449.920736	0.000000
7695	736840.678676	4784463.302557	0.000000
7697	736978.855672	4783587.656754	0.000000
7700	736889.174899	4782239.111837	0.000000
7701	737052.073679	4782203.998131	0.000000
7702	737102.374247	4782195.865287	0.000000
7704	737341.445081	4782250.757169	0.000000
7705	737404.347303	4782269.008110	0.000000
7710	737652.101200	4782340.893639	0.000000
7712	736839.752232	4782171.285909	0.000000
7713	736793.091546	4782174.020933	0.000000
7717	736709.474514	4782240.797778	0.000000
7718	736647.980543	4782251.535324	0.000000
7722	736655.746739	4782183.887469	0.000000
7726	736400.348663	4780934.689930	0.000000
7727	736425.483757	4780949.929153	0.000000
7728	736435.854325	4780954.459126	0.000000
7730	736606.117915	4780918.109675	0.000000
7731	736655.802889	4780893.027657	0.000000
7736	736826.644809	4780969.110621	0.000000
7737	736926.158470	4781002.596027	0.000000
7746	737035.152763	4780708.576179	0.000000
7747	737060.221833	4780649.937372	0.000000
7749	737083.777444	4780608.114245	0.000000
7751	737095.548264	4780597.226713	0.000000
7753	736749.971548	4779039.728708	0.000000
7759	736760.806693	4778992.780935	0.000000
7761	737949.183098	4777559.700865	0.000000
7762	737950.949328	4777472.485103	0.000000
7763	734968.665753	4777600.867683	0.000000
7768	734954.672752	4777604.121271	0.000000
7769	735106.616614	4777566.930732	0.000000
7770	735123.157946	4777562.542252	0.000000
7772	734917.859098	4779379.513835	0.000000
7773	734468.733099	4778948.680675	0.000000
7776	734169.920860	4778627.544161	0.000000
7777	734091.032506	4778610.444776	0.000000
7778	734023.156980	4778625.547533	0.000000
7786	738775.940157	4776450.122004	0.000000
7859	732918.930171	4775399.102182	0.000000
7860	733189.739035	4775611.022264	0.000000
7865	733270.835453	4775674.683472	0.000000
7866	733290.640560	4775713.588028	0.000000
7868	733363.893672	4775833.277518	0.000000
7869	733285.313078	4775695.448636	0.000000
7870	733373.509666	4775847.994591	0.000000
7872	733547.008208	4776018.162755	0.000000
7877	733500.968914	4776093.951823	0.000000
7878	738867.603655	4777697.345419	0.000000
7881	738698.036474	4777677.103886	0.000000
7882	738676.073573	4777675.945428	0.000000
7883	738583.960301	4777662.500902	0.000000
7884	738302.261131	4777627.224851	0.000000
7885	738353.616544	4777476.982456	0.000000
7896	739142.886559	4777459.431207	0.000000
7897	739174.152634	4777480.354856	0.000000
7899	739230.005896	4777586.662684	0.000000
7902	739372.147345	4777909.500587	0.000000
7903	739468.641939	4778090.462405	0.000000
7904	739485.071717	4778210.999835	0.000000
7907	739545.030317	4778419.379347	0.000000
7918	740331.314859	4778782.457023	0.000000
7920	740405.204058	4778856.231464	0.000000
7931	739859.051944	4777302.546166	0.000000
7932	739952.198921	4777202.288531	0.000000
7934	740003.099411	4777213.476965	0.000000
7938	740072.631404	4777250.363860	0.000000
7940	740191.681136	4777328.616407	0.000000
7942	740303.358463	4777591.845703	0.000000
7956	739686.330661	4777660.330832	0.000000
7958	739751.425181	4777598.870949	0.000000
