id	node	link	layer	offset	easting	northing	elevation	tag	notes
190574	872224	3057058	AUTO/BUS/WALK	48.846432	736853.777086	4779309.448460	0.000000	Amenity	doctors
190578	71235	3128389	AUTO/BUS/WALK	28.448746	735947.090217	4779943.984338	0.000000	Amenity	dentist
190582	774598	3100155	AUTO/BUS/WALK	44.664420	736697.106538	4779312.497310	0.000000	Office	government
190587	112273	3078181	AUTO/BUS/WALK	50.930383	736861.721990	4779316.585460	0.000000	Shop	florist
190599	641622	3100378	AUTO/BUS/WALK	15.267167	736636.771941	4779392.262158	0.000000	Shop	convenience
190612	688246	3123710	AUTO/BUS/WALK	17.632583	736888.401459	4779509.791257	0.000000	Amenity	pharmacy
190637	504790	3122010	AUTO/BUS/WALK	33.435733	735253.879698	4777924.692935	0.000000	Amenity	cafe
190642	636294	3087358	AUTO/BUS/WALK	44.657729	736877.510995	4779429.296666	0.000000	Shop	clothes
190649	688246	3123710	AUTO/BUS/WALK	53.784854	736885.647310	4779463.238297	0.000000	Amenity	cafe
190654	636294	3087358	AUTO/BUS/WALK	50.647021	736876.119400	4779422.710017	0.000000	Shop	shoes
190659	640429	3099888	AUTO/BUS/WALK	17.163748	736589.591368	4779742.786881	0.000000	Shop	mobile_phone
190664	636294	3087358	AUTO/BUS/WALK	59.189071	736874.088056	4779413.677074	0.000000	Shop	ticket
190669	640429	3099888	AUTO/BUS/WALK	9.413840	736576.895432	4779758.491256	0.000000	Shop	hardware
190679	941431	3087392	AUTO/BUS/WALK	18.011396	736897.093841	4779362.671605	0.000000	Shop	trade
190684	688246	3123710	AUTO/BUS/WALK	44.423907	736887.569805	4779472.589925	0.000000	Shop	fabric
190688	190694	3087394	AUTO/BUS/WALK	14.469030	736872.163288	4779401.345356	0.000000	Shop	beauty
190701	168511	3083576	AUTO/BUS/WALK	11.960468	741632.531611	4775186.342796	0.000000	Shop	hairdresser
190710	92564	3053304	AUTO/BUS/WALK	9.728687	735328.187604	4777948.663402	0.000000	Amenity	restaurant
190717	509720	3138414	AUTO/BUS/WALK	20.959351	736944.738307	4778810.323430	0.000000	Shop	beauty
191144	513186	3058876	AUTO/BUS/WALK	142.226828	738753.061259	4777803.015734	0.000000	Amenity	waste_basket
191157	645852	3128071	AUTO/BUS/WALK	74.014853	736226.486621	4779668.458187	0.000000	Shop	beauty
191161	645852	3128071	AUTO/BUS/WALK	62.372511	736214.813942	4779667.597413	0.000000	Shop	clothes
191165	646495	3128354	AUTO/BUS/WALK	28.035172	736223.646220	4779747.996803	0.000000	Shop	furniture
191169	640581	3099996	AUTO/BUS/WALK	35.030849	735953.451011	4780023.630416	0.000000	Amenity	vehicle_inspection
191174	157835	3128315	AUTO/BUS/WALK	58.796796	736094.779972	4779940.885998	0.000000	Shop	hairdresser
191178	157835	3128315	AUTO/BUS/WALK	86.673580	736120.998469	4779930.175292	0.000000	Amenity	pharmacy
191182	157835	3128315	AUTO/BUS/WALK	73.927715	736109.151653	4779935.524368	0.000000	Shop	convenience
191187	646368	3128329	AUTO/BUS/WALK	21.345348	736171.900251	4779911.936667	0.000000	Shop	convenience
191191	640515	3099965	AUTO/BUS/WALK	7.927872	736032.668510	4780011.186740	0.000000	Shop	newsagent
191200	157830	3069351	AUTO/BUS/WALK	62.112947	736240.015208	4779930.856134	0.000000	Amenity	atm
191203	646413	3069355	AUTO/BUS/WALK	19.786897	736141.433991	4779934.764578	0.000000	Amenity	waste_disposal
191209	71235	3115857	AUTO/BUS/WALK	11.876467	735953.322802	4779904.181674	0.000000	Shop	hardware
191213	646526	3128381	AUTO/BUS/WALK	17.073562	735939.245233	4779945.714009	0.000000	Shop	convenience
191219	647499	3093390	AUTO/BUS/WALK	13.472524	735618.145675	4779851.323548	0.000000	Office	research
191226	946911	3100050	AUTO/BUS/WALK	27.117666	735825.501659	4779983.727336	0.000000	Amenity	atm
191326	803229	3138435	AUTO/BUS/WALK	9.971266	736660.746049	4778053.370533	0.000000	Amenity	fast_food
191329	508780	3056515	AUTO/BUS/WALK	67.497801	736650.558408	4778248.418211	0.000000	Amenity	recycling
192846	513360	3059477	AUTO/BUS/WALK	11.016180	738744.071904	4777708.495001	0.000000	Office	telecommunication
193398	194281	3116904	AUTO/BUS/WALK	139.723523	735941.168506	4768008.608176	0.000000	Shop	bicycle
193401	194281	3116904	AUTO/BUS/WALK	147.099169	735928.405288	4768025.291054	0.000000	Leisure	pitch
193409	194850	3121901	AUTO/BUS/WALK	45.417247	735319.927532	4768279.345104	0.000000	Amenity	cafe
193414	499653	3058274	AUTO/BUS/WALK	16.300248	737046.781168	4777660.184368	0.000000	Shop	convenience
193418	502076	3059015	AUTO/BUS/WALK	36.067443	734381.402141	4778524.926288	0.000000	Amenity	clinic
193449	502777	3059067	AUTO/BUS/WALK	29.075785	734727.448556	4778217.964248	0.000000	Amenity	cafe
193453	453757	3071913	AUTO/BUS/WALK	23.198992	734403.984528	4777512.571278	0.000000	Amenity	cafe
193456	500122	3053204	AUTO/BUS/WALK	15.203988	734836.597664	4777943.979008	0.000000	Amenity	cafe
193462	449901	3074175	AUTO/BUS/WALK	25.727444	732698.725164	4774335.613970	0.000000	Shop	electronics
193466	499551	3057585	AUTO/BUS/WALK	20.432074	734910.027654	4777931.532548	0.000000	Amenity	fast_food
193495	901092	3123455	AUTO/BUS/WALK	17.962768	740234.275603	4777656.051269	0.000000	Amenity	childcare
193499	644094	3091578	AUTO/BUS/WALK	109.564063	738743.366084	4776749.500472	0.000000	Shop	car
193536	599421	3072521	AUTO/BUS/WALK	83.244683	749920.761784	4805126.553556	0.000000	Amenity	fast_food
193547	193548	3071252	AUTO/BUS/WALK	54.862836	735157.616870	4768341.929362	0.000000	Amenity	bicycle_parking
193554	635016	3070612	AUTO/BUS/WALK	26.600302	736781.514172	4785902.051376	0.000000	Shop	convenience
193583	7883	3104493	AUTO/BUS/WALK	18.244306	738573.331461	4777677.329335	0.000000	Amenity	doctors
193589	59908	3069260	AUTO/BUS/WALK	63.652758	738325.388873	4777897.183841	0.000000	Amenity	dentist
193594	59908	3069260	AUTO/BUS/WALK	128.887497	738385.314533	4777944.603603	0.000000	Shop	alcohol
193628	512634	3054321	AUTO/BUS/WALK	16.817223	738337.410041	4778057.949183	0.000000	Shop	car_repair
193631	4684	3115793	AUTO/BUS/WALK	63.351833	737924.700780	4778147.693751	0.000000	Shop	car_repair
193638	637062	3089550	AUTO/BUS/WALK	33.733485	737761.364192	4778842.924634	0.000000	Shop	car_repair
195078	145694	3091529	AUTO/BUS/WALK	22.516699	739603.333726	4777189.459298	0.000000	Amenity	childcare
195108	566374	3115366	AUTO/BUS/WALK	119.073680	738374.541089	4781588.217524	0.000000	Shop	car_repair
195332	99951	3058424	AUTO/BUS/WALK	7.816268	735851.311005	4777694.749658	0.000000	Shop	convenience
195335	534862	3103753	AUTO/BUS/WALK	35.379614	738449.331344	4783427.527631	0.000000	Shop	car_repair
195417	626999	3096708	AUTO/BUS/WALK	18.178675	736340.438169	4776083.200203	0.000000	Shop	car_repair
195779	541432	3111381	AUTO/BUS/WALK	10.657033	738912.737106	4782487.941245	0.000000	Shop	car_parts
195940	633860	3135265	AUTO/BUS/WALK	5.136526	737575.277068	4786559.636553	0.000000	Amenity	bench
195954	195943	3106140	AUTO/BUS/WALK	30.069656	737634.261697	4786647.787811	0.000000	Leisure	bird_hide
196017	453900	3099700	AUTO/BUS/WALK	21.052248	734486.507104	4777712.763953	0.000000	Amenity	restaurant
