LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER,
43.154634,131.916387,8801880,"край. Приморский, г. Владивосток, ул. Фирсова, д. 8, к. Б",2005,18.02.2016 в 08:42,05.04.2005,86,Многоквартирный дом,Не заполнено,ТСЖ НАДЕЖДА,http://www.reformagkh.ru/mymanager/profile/8801733/,Нет,9,Не заполнено,3,105,Не заполнено,Не заполнено,5749.1,3499.7,172,Незаполнено,2300,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.154634,131.916387,8801877,"край. Приморский, г. Владивосток, ул. Фирсова, д. 8Б",Не заполнено,22.05.2015 в 20:42,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.116747,131.939653,9068688,"край. Приморский, г. Владивосток, ул. Флотская 1-я, д. 50",1977,01.04.2016 в 03:16,31.07.2015,не указан в техпаспорте,Многоквартирный дом,На счете регионального оператора,"ООО ""Управляющая компания 71-го микрорайона""",http://www.reformagkh.ru/mymanager/profile/6957767/,Нет,9,9,1,57,56,1,3058.8,2413.4,108.1,319.8,1681.9,0,,Не присвоен,Имеется,Не имеется,-,-,
43.119109,131.940578,7008825,"край. Приморский, г. Владивосток, ул. Флотская 1-я, д. 56",1917,07.04.2016 в 03:45,23.08.2010,не указаны в техпаспорте,Многоквартирный дом,На счете регионального оператора,"ООО ""Управляющая компания 71-го микрорайона""",http://www.reformagkh.ru/mymanager/profile/6957767/,Нет,2,2,3,16,16,0,924.2,761.4,0,162.8,3117,0,,Не присвоен,Не имеется,Не имеется,-,-,
43.120978,131.882026,8878280,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 19/1",1918,22.05.2015 в 20:42,Не заполнено,Не заполнено,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,800.6,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.120978,131.882026,8878333,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 19/2",1918,22.05.2015 в 20:42,Не заполнено,Не заполнено,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,87.4,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.120978,131.882026,8878341,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 19/3",1917,22.05.2015 в 20:42,Не заполнено,Не заполнено,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,306.2,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.120412,131.884793,8878275,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 31",1957,22.05.2015 в 20:42,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,114.5,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.120412,131.884793,6932108,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 31, к. 2",1952,30.03.2016 в 06:06,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,4,1,2,34,33,1,2376.2,1693.2,83,600,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.120412,131.884793,6938079,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 31/2",1952,22.05.2015 в 20:42,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,1726.4,1629.6,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.1203,131.885395,6933953,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 35",1965,31.03.2016 в 04:45,01.06.2011,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,1,3,51,50,1,3674.6,2524.6,900,250,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.118905,131.890695,6939961,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 44",1959,22.05.2015 в 20:42,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Нет,4,Не заполнено,1,Не заполнено,Не заполнено,Не заполнено,1244.1,997.9,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.119879,131.887659,6936618,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 47",1938,22.05.2015 в 20:42,Не заполнено,Не заполнено,Многоквартирный дом,Не заполнено,"ТСЖ ""Фонтан""",http://www.reformagkh.ru/mymanager/profile/8713810/,Нет,4,Не заполнено,2,12,Не заполнено,Не заполнено,1071.8,820.3,251.5,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.12032,131.88826,9102909,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 47а",2005,04.02.2016 в 16:21,25.01.2005,"кирпичный, индивидуальная",Многоквартирный дом,На специальном счете организации,"ТСЖ ""на Фонтанной"" г. Владивостока",http://www.reformagkh.ru/mymanager/profile/8917917/,Нет,13,10,1,21,19,2,4973.5,2926.2,473,756.8,1374,Незаполнено,,Не заполнено,Не имеется,Не имеется,Не заполнено,Не заполнено,
43.119471,131.889895,8645217,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 59",1918,22.05.2015 в 20:42,16.12.2005,Не заполнено,Многоквартирный дом,Не заполнено,"ТСЖ ""На Фонтанной""",http://www.reformagkh.ru/mymanager/profile/8644022/,Нет,2,Не заполнено,7,10,Не заполнено,Не заполнено,363.3,290.9,72.4,Незаполнено,550,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.119405,131.890246,8645207,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 61",1918,22.05.2015 в 20:42,16.12.2005,Данные о проекте в архиве отсутствуют,Многоквартирный дом,Не заполнено,"ТСЖ ""1-ое Марта""",http://www.reformagkh.ru/mymanager/profile/8834767/,Нет,2,Не заполнено,1,6,Не заполнено,Не заполнено,339.32,250.7,71.1,Незаполнено,785,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.119701,131.890381,8645213,"край. Приморский, г. Владивосток, ул. Фонтанная, д. 61а",1917,22.05.2015 в 20:42,16.12.2005,Не заполнено,Многоквартирный дом,Не заполнено,"ТСЖ ""На Фонтанной""",http://www.reformagkh.ru/mymanager/profile/8644022/,Нет,2,Не заполнено,1,10,Не заполнено,Не заполнено,468.9,371.1,97.8,Незаполнено,775,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
