	Unnamed: 0	name	cat	address	emp	vac	lat	lon	district
860	860	"ООО ""Птицефабрика ""Уссурийская"""	Разведение сельскохозяйственной птицы…	692715, г Артем, ул Ворошилова, д. 45	400	11	43.39496	132.283645	
861	861	"ООО ""ПЭК"""	Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки…	690025, г Артем, ул Фрунзе, д. 15/1	133	3	43.34709	132.14786	
862	862	"ООО ""РАДНИКА"""	Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)…	690091, г Владивосток, ул Алеутская, д. 13	480	2	43.11367	131.88095	Фрунзенский
863	863	"ООО ""РАЙ-ИНВЕСТ"""	Деятельность по подбору персонала прочая…	690014, г Владивосток, ул Некрасовская, д. 100, офис 4, 3-ий этаж, собеседование граждан по предварительной записи по телефону	6	0	43.1322854	131.9130914	
864	864	"ООО ""Рассвет"""	Лесоводство и прочая лесохозяйственная деятельность…	690074, г Владивосток, ул Выселковая, д. 39, офис 216	1	0	43.1455061	131.9472496	Первореченский
865	865	"ООО ""Ратимир"""	Производство продукции из мяса убойных животных и мяса птицы	690054, г Владивосток, ул Шоссейная 3-я, д. 21	1306	2	43.2772905	132.0669311	Советский
866	866	"ООО ""РЕВ-ПРОФИТ"""	Строительство жилых и нежилых зданий…	690022, г Владивосток, ул Чапаева, д. 14, офис 8, СОБЕСЕДОВАНИЯ ПО АДРЕСУ: Г.ВЛАДИВОСТОК, ОКЕАНСКИЙ ПР-Т, Д.69, ОФ. 501 КАЖДЫЙ ВТОРНИК С 11-00 ДО 12-00	1	13	43.1286497	131.8921162	Фрунзенский
867	867	"ООО ""Регион-Маркет"""	Торговля розничная алкогольными напитками, кроме пива, в специализированных магазинах	690034, г Владивосток, ул Фадеева, д. 51, корп. В, офис 2	44	5	43.099883	131.9814825	Ленинский
868	868	"ООО ""Регионтрейд"""	Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами…	690054, г Владивосток, ул Заречная, д. 47	240	1	43.2830841	132.0742847	Советский
869	869	"ООО ""Респект-Владивосток"""	Торговля розничная обувью в специализированных магазинах…	690001, г Владивосток, ул Пушкинская, д. 40, офис 810	50	0	43.1150101	131.9108647	Ленинский
870	870	"ООО ""Ресурс ДВ"""	Производство кирпича, черепицы и прочих строительных изделий из обожженной глины…	690021, г Владивосток, ул Запорожская, д. 77, офис 824/1, собеседование и прием соискателей с предварительной записью по телефону	76	0	43.1008217	131.9020908	Первомайский
871	871	"ООО ""Рилайз"""	Производство строительных металлических конструкций, изделий и их частей…	690034, г Владивосток, ул Воропаева, д. 41, корп. А, прием граждан на собеседование по предварительной записи по телефону	16	7	43.1012035	131.9564518	Ленинский
872	872	"ООО ""РМД ЮВА 1"""	Рыболовство морское…	690001, г Владивосток, ул Пушкинская, д. 87, офис 12	91	1	43.1152442	131.9126358	Ленинский
873	873	"ООО ""РОДСТОР ГРУПП"""	Торговля оптовая прочими пищевыми продуктами…	690068, г Владивосток, пр-кт 100-летия Владивостока, д. 155, корп. 2, офис 12	622	3	43.1790701	131.9187624	Советский
874	874	"ООО ""РОНДА СОФТВАРЕ"""	Научные исследования и разработки в области естественных и технических наук прочие…	690048, г Владивосток, ул Карбышева, д. 4	108	0	43.154503	131.91874	Первореченский
875	875	"ООО ""РОНДА"""	Разработка компьютерного программного обеспечения…	690048, г Владивосток, ул Карбышева, д. 4	9	0	43.154503	131.91874	Первореченский
